Item,Qty,Reference(s),Value,Manufacturer Part #,Distributor,Distributor Part #,Unit Cost,Cost,Carted
1,1,D1,1N4148W,1N4148W,Digikey,1655-1N4148WCT-ND,0.13,0.13,
2,1,D2,SMF13A,SMF13A,Digikey,F5815CT-ND,0.47,0.47,
3,1,D3,SMF6.0A,SMF6.0A,Digikey,F5749CT-ND,0.45,0.45,
4,1,J1,Resistor,212528-0200,Digikey,900-2125280200-ND,1.13,1.13,
5,1,J2,Return,212528-0200,Digikey,900-2125280200-ND,1.13,1.13,
6,1,J3,12V Power,212528-0200,Digikey,900-2125280200-ND,1.13,1.13,
7,1,J4,Disable,212528-0200,Digikey,900-2125280200-ND,1.13,1.13,
8,1,K1,DBR71205-HR,DBR71205-HR,Digikey,725-DBR71205-HR-ND,46.88,46.88,
9,1,Q1,DMG3418L,DMG3418L-7,Digikey,DMG3418L-7DICT-ND,0.41,0.41,
10,1,R1,10k,RNCP0805FTD10K0,Digikey,RNCP0805FTD10K0CT-ND,0.1,0.1,
11,1,R2,1k,RNCP0805FTD1K00,Digikey,RNCP0805FTD1K00CT-ND,0.1,0.1,
Total:,,,,,,,,53.06,
